id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,conc_norm,inflow
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.9743968429,-0.2845917281,1.258988571
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.5382108693,0.11509070299999996,0.4231201663
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.6260846041,-0.42501130224000006,1.05109590634
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.982,-0.16300000000000003,1.145
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.131175985,0.03727189134,0.09390409366
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,2.052452924,0.7934643529999998,1.258988571
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,1.110133478,0.6870133117000001,0.4231201663
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.8508240149999999,-0.20027189134000012,1.05109590634
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,1.587,0.44199999999999995,1.145
