"UniqueID","CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C","JP5_empirical","JP5_normalized","Diesel_Chen","sample","run_name"
"TAU824028",0.0103031117700885,0.0412947617022723,0.0100485566543321,0.0121333914863755,0.0303811391631518,0.0226397223492155,0.0043004647073183,0.00808816953365298,0.00308602559509135,0.00920586431787158,0,0.946743090684081,0.559801702460656,1.39402465402481,0.828173776937436,1.75145250020335,0.115902052241348,6.19751897721458,"Group005Sample0001","run6"
"TAU824029",0.00673936094926519,0.00820288822170456,0.00636312837820561,0.00768731408536323,0.0131159717929002,0.0270677963356316,0.00291792484008804,0.00474147282411597,0.00250958643209113,0.00841541596447508,0,0.958400967342174,1.04155773447656,1.57927971628943,0.827744034853618,0.802444870595964,0.089352663582445,2.97317622344515,"Group005Sample0002","run6"
"TAU824030",0.01784470672917,0.00595018451480844,0.017789368211405,0.0182137826783599,0.0178040217500146,0.0193217841896855,0.010223163103133,0.0150009168818109,0.00758214051261266,0.0219705211327059,0.0122447546744164,0.817595936073159,2.54696714680843,1.48792720723447,0.976698170036957,0.88247504987608,0.0392212015843468,5.20171893103993,"Group005Sample0003","run6"
"TAU824031",0.008730508449901,0.00952815592857817,0.00895813980588013,0.00995059870869491,0.0203512524035694,0.0206570804795705,0.00403064023214801,0.00763987077749491,0.00290731268789988,0.00973497293683768,0,1.02008893079449,0.993246379823305,1.73730784766357,0.90026138809642,0.979341620305456,0.0807887536832281,4.06946424516638,"Group005Sample0004","run6"
"TAU824032",0.00852963871867169,0.0137288352284762,0.00833042279837286,0.00924347422303503,0.0171937157792077,0,0.00453975497224503,0.00723284398776656,0.00303805955107789,0.0119678527971389,0,1.00579475561345,1.47308461947199,1.69954612685404,0.901222051078282,0.884141858115247,0.072411386954021,3.75799921475312,"Group005Sample0005","run6"
"TAU824033",0.0306783891277964,0.0149471854807117,0.0396831824634875,0.0276267695728968,0.0474520243994748,0.0163249143883499,0.0333052537646,0.0363959492348142,0.0241697456274845,0.0716540983996664,0.00742151274348727,0.657337377514333,2.88406960049539,1.61315088731639,1.4364032812008,2.08657997085716,0.041600368799963,9.68780451934752,"Group005Sample0006","run6"
"TAU824034",0.0103562023120976,0.0103149120395431,0.0104722708176942,0.0121956070783848,0.0157366182487165,0.0215841281915432,0.00505097157190701,0.00839594742536854,0.00365301241573694,0.0115960413508045,0,0.976101573371975,1.27349167155913,1.51993796867262,0.858692047914126,0.820975661384688,0.0619341155938111,3.84854168379915,"Group005Sample0007","run6"
"TAU824035",0.00916634448152221,0.0433518903012995,0.00986792377053967,0.0111767840726875,0.0100889821935186,0,0.00597356569154491,0.00855100583598263,0.00460145484525891,0.0124491151421493,0,1.10845841835469,1.07726109000992,1.50231987253423,0.88289473128981,1.01186579879526,0.0749692908653601,4.06457995453357,"Group006Sample0001","run6"
"TAU824036",0.00923349472504953,0.0278942895495693,0.0102770894477746,0.00996493748990686,0.0155473629945461,0.0159123322590649,0.00430419898512652,0.00761152543313608,0.00326647072685724,0.00916010076382341,0.00562224647218234,0.798375036524605,1.39079212852093,1.4693412110818,1.03132502920203,0.989952820120818,0.0736668977610098,3.9773766139724,"Group006Sample0002","run6"
"TAU824037",0.0303884642375924,0.0304085078075568,0.0325451310537578,0.0300509831711061,0.0496189182563722,0,0.0168207828631984,0.027306089336544,0.0133168608150348,0.0376748111277052,0.00123900031150783,0.664317211684391,1.92771530076355,1.6533723308239,1.08299721404955,2.426429542432,0.0618588890872197,9.28930057700424,"Group001Sample0002","run5"
"TAU824038",0.0169718776264944,0.0375941386494027,0.0180238600611268,0.0182481509664468,0.0656077433602001,0.00727625540986961,0.0106590231309236,0.0152711522160726,0.0075222206501966,0.0238609169228006,0.0920658980423394,1.05588041715992,1.12018743150618,1.73915557866759,0.987708842077621,2.89453390929399,0.10428599539835,9.68715490854724,"Group001Sample0003","run5"
"TAU824039",0.0166509664936495,0.0347127240314404,0.0166531532167804,0.0183449816404993,0.0184897115181002,0,0.0097349478821773,0.0141429746376978,0.00656301878409475,0.020687706523756,0.00366485032155409,0.826362962370777,1.97998298456416,1.71549530718917,0.907777044596002,1.28782047899364,0.0590587706700174,5.66810904243169,"Group001Sample0004","run5"
