id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,fdom,fdom_conc,fdom_alt_name,fdom_cat,fdom_conc_norm,inflow
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.0842049843998443,Tyrosine,Proteinaceous,0.045595901415502495,0.0386090829843418
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_c,0.00519902281090358,Visible-Humic,Humic,0.0016643947773437797,0.0035346280335598
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_m,0.00798038807665228,Marine Humic,Humic,-3.1536734973310054e-4,0.00829575542638538
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_t,0.0468113907268575,Tryptophan,Proteinaceous,-0.0017891793318504032,0.0486005700587079
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,m_to_c,0.65147493592624,m_to_c,Humic,0.22539824346281395,0.426076692463426
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,bix,0.809934654402416,bix,Humic,0.3052026140968179,0.504732040305598
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.394668593569803,hix,Humic,-0.015482781474394025,0.410151375044197
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.0727621058419829,Phenylalanine,Proteinaceous,0.03716000932171629,0.0356020965202666
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,1.64077425570003,Fluvic Acid,Humic,0.050572282831339965,1.59020197286869
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0.0332114083848893,lignin,Other,0.0110091009500944,0.0222023074347949
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.00883950132834377,UV-Humic,Humic,0.0016954366711321505,0.00714406465721162
