tank_number,treatment,inflow_table,date_time,date,time,org,conc_ul,outlier,time_string,date_string,date_time_string,conc_norm
T9,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,3.117,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.0870588235294116
T9,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,119.467,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.5503333333333273
T10,CCA,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,403.65,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-123.38453333333337
T10,CCA,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,2.8,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.404058823529412
T10,CCA,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,31.933,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-86.98366666666666
T11,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,552.533,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,25.498466666666673
T11,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,2.433,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.771058823529412
T11,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,121.383,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,2.466333333333324
T12,CCA,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,362,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-165.03453333333334
T12,CCA,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,2.417,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.787058823529412
T12,CCA,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,43.067,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-75.84966666666668
T14,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,566.167,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,39.13246666666669
T14,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,2.583,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.6210588235294114
T14,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,94.783,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-24.13366666666667
T15,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,557.504,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,30.469466666666676
T15,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,3.577,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-1.6270588235294117
T15,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,116.639,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.2776666666666756
T16,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,347.121,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-179.91353333333336
T16,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,2.047,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-3.1570588235294115
T16,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,75.391,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-43.525666666666666
F1,Inflow,Table 1,2024-06-04T12:00:00Z,2024-06-04,12:00:00,het_bact,426.15,not outlier,12:00:00,2024-06-04,2024-06-04 12:00:00,-13.087117647058847
