id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,outlier,conc_norm
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.4582610822,not outlier,-0.012428226622222205
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.9627403015999999,not outlier,-0.13499483232055576
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.746,not outlier,-0.4476111111111112
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.1199153959,not outlier,0.024039418709444454
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.1320856665,not outlier,0.05070982049555556
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.9743968429,not outlier,-0.19479067645294112
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.5382108693,not outlier,0.06752156047777774
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.6260846041,not outlier,-0.47165052982055566
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.982,not outlier,-0.2116111111111112
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.131175985,not outlier,0.03530000780944445
