id_number,tank_number,treatment,inflow_table,date_time,date,time,fdom,fdom_conc,fdom_alt_name,fdom_cat,outlier,time_string,date_string,date_time_string,conc_norm
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,hix,0.411622748767734,hix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.005757984734869825
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fpeak,0.075473695267994,Phenylalanine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.04277166095115441
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fi,1.48230977440288,Fluvic Acid,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.2627050686020995
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,lignin,0.00368705787668607,lignin,Other,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.03295964489105889
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_a,0.00605195208140413,UV-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.0019100038222448065
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_b,0.0760813789534515,Tyrosine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.0313234562078345
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_c,0.00331565196640908,Visible-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.0012803265370593011
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_m,0.00709216405823315,Marine Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.0022432716953088893
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_t,0.0414345765218118,Tryptophan,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.011688651109275444
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,m_to_c,0.467509202999895,m_to_c,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.018303861676114586
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,bix,0.642964204961481,bix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.03533019915652069
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,hix,0.377003790028423,hix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.02886097400444121
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fpeak,0.0315181244940096,Phenylalanine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.0011839098228299885
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fi,1.41412357518019,Fluvic Acid,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.3308912678247895
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,lignin,0.0159177853903355,lignin,Other,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.02072891737740946
MOBEAST011,T9,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_a,0.0064676241396417,UV-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.0014943317640072366
MOBEAST011,T9,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_b,0.0753998902920884,Tyrosine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.030641967546471402
MOBEAST011,T9,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_c,0.0039185362902906,Visible-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-6.774422131777813e-4
