Cracked,ID Number ,Long Name ,Tank #,Treatment,Date,Time,Variable,Note 
TRUE,MOBEAST024,MOBEAST_T4_A_2024-06-02_1800,T4,A,6/2/2024,1800,DNA,
TRUE,MOBEAST025,MOBEAST_T5_R_2024-06-02_1800,T5,R,6/2/2024,1800,DNA,
TRUE,MOBEAST026,MOBEAST_T6_K_2024-06-02_1800,T6,K,6/2/2024,1800,DNA,
TRUE,MOBEAST027,MOBEAST_T7_K_2024-06-02_1800,T7,K,6/2/2024,1800,DNA,
TRUE,MOBEAST028,MOBEAST_T8_C_2024-06-02_1800,T8,C,6/2/2024,1800,DNA,
TRUE,MOBEAST029,MOBEAST_T9_K_2024-06-02_1800,T9,K,6/2/2024,1800,DNA,
TRUE,MOBEAST030,MOBEAST_T10_R_2024-06-02_1800,T10,R,6/2/2024,1800,DNA,
TRUE,MOBEAST031,MOBEAST_T11_C_2024-06-02_1800,T11,C,6/2/2024,1800,DNA,
TRUE,MOBEAST032,MOBEAST_T12_R_2024-06-02_1800,T12,R,6/2/2024,1800,DNA,
TRUE,MOBEAST033,MOBEAST_T13_A_2024-06-02_1800,T13,A,6/2/2024,1800,DNA,
TRUE,MOBEAST034,MOBEAST_T14_A_2024-06-02_1800,T14,A,6/2/2024,1800,DNA,
TRUE,MOBEAST035,MOBEAST_T15_C_2024-06-02_1800,T15,C,6/2/2024,1800,DNA,
TRUE,MOBEAST036,MOBEAST_T16_K_2024-06-02_1800,T16,K,6/2/2024,1800,DNA,
TRUE,MOBEAST037,MOBEAST_F1_Inflow_2024-06-03_0000,F1,Inflow,6/3/2024,0000,DNA,
TRUE,MOBEAST038,MOBEAST_F2_Inflow_2024-06-03_0000,F2,Inflow,6/3/2024,0000,DNA,
TRUE,MOBEAST039,MOBEAST_T1_A_2024-06-03_0000,T1,A,6/3/2024,0000,DNA,
TRUE,MOBEAST040,MOBEAST_T2_R_2024-06-03_0000,T2,R,6/3/2024,0000,DNA,
TRUE,MOBEAST041,MOBEAST_T3_C_2024-06-03_0000,T3,C,6/3/2024,0000,DNA,
TRUE,MOBEAST042,MOBEAST_T4_A_2024-06-03_0000,T4,A,6/3/2024,0000,DNA,
TRUE,MOBEAST043,MOBEAST_T5_R_2024-06-03_0000,T5,R,6/3/2024,0000,DNA,
TRUE,MOBEAST044,MOBEAST_T6_K_2024-06-03_0000,T6,K,6/3/2024,0000,DNA,
TRUE,MOBEAST045,MOBEAST_T7_K_2024-06-03_0000,T7,K,6/3/2024,0000,DNA,
TRUE,MOBEAST046,MOBEAST_T8_C_2024-06-03_0000,T8,C,6/3/2024,0000,DNA,
TRUE,MOBEAST047,MOBEAST_T9_K_2024-06-03_0000,T9,K,6/3/2024,0000,DNA,
TRUE,MOBEAST048,MOBEAST_T10_R_2024-06-03_0000,T10,R,6/3/2024,0000,DNA,
TRUE,MOBEAST049,MOBEAST_T11_C_2024-06-03_0000,T11,C,6/3/2024,0000,DNA,
TRUE,MOBEAST050,MOBEAST_T12_R_2024-06-03_0000,T12,R,6/3/2024,0000,DNA,
TRUE,MOBEAST051,MOBEAST_T13_A_2024-06-03_0000,T13,A,6/3/2024,0000,DNA,
TRUE,MOBEAST052,MOBEAST_T14_A_2024-06-03_0000,T14,A,6/3/2024,0000,DNA,
TRUE,MOBEAST053,MOBEAST_T15_C_2024-06-03_0000,T15,C,6/3/2024,0000,DNA,
TRUE,MOBEAST054,MOBEAST_T16_K_2024-06-03_0000,T16,K,6/3/2024,0000,DNA,
TRUE,MOBEAST055,MOBEAST_F1_Inflow_2024-06-03_0600,F1,Inflow,6/3/2024,0600,DNA,
TRUE,MOBEAST056,MOBEAST_F2_Inflow_2024-06-03_0600,F2,Inflow,6/3/2024,0600,DNA,
