id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,npoc_u_m,npoc_u_m_norm,coble_a,coble_b,coble_c,coble_m,coble_t,m_to_c,bix,hix,fpeak,fi,lignin,ph,ph_inflow,ph_diff,ta,ta_inflow,delta_ta
MOBEAST051,MOBEAST_T13_A_2024-06-03_0000,T13,Algae,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,362.210362426836,43.627765242658995,0.00414088260048789,0.03371956061695931,0.00975488295865947,0.0062029728341884,-0.1383622886321766,0.332826983018363,-0.299647969925661,0.308331066936762,-0.01688606468576009,-0.3260414533429201,-0.04341888672433039,7.890482009992863,8.002849161030754,-0.1123671510378914,2383.262,2349.51,33.75199999999995
MOBEAST052,MOBEAST_T14_A_2024-06-03_0000,T14,Algae,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,99.5279209371644,-219.05467624701265,0.00411373119211579,0.0351879310771673,0.00757880514242666,0.00447164557665069,-0.1407288634145408,0.290058251657345,-0.304649920111839,0.3288534870599,-0.01528948152224699,-0.28002580156522017,-0.06821513203477239,7.922807902557299,8.002849161030754,-0.08004125847345556,2377.85,2349.51,28.33999999999969
MOBEAST053,MOBEAST_T15_C_2024-06-03_0000,T15,Control,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,93.1169707011248,-225.46562648305223,0.00416078185866259,0.04045005132397231,0.00435390755423267,0.00535287511033219,-0.1241903422609804,0.096911041357156,-0.33012231660422,0.274750369493985,-0.0248502611718157,-0.02373779943576037,-0.0777361254601894,8.029470399672205,8.002849161030754,0.02662123864145016,2358.249,2349.51,8.738999999999578
MOBEAST054,MOBEAST_T16_K_2024-06-03_0000,T16,Coral,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,89.4535705662451,-229.1290266179319,3.5328283619369925e-4,0.02908337604423111,0.00389155189671986,0.00222273049727409,-0.1335275580134955,0.17065647460780398,-0.30549948661814397,0.209970037205857,-0.00460360948869459,-0.3094902939392703,-0.098262053195308,8.014004531254514,8.002849161030754,0.01115537022375967,2303.17,2349.51,-46.340000000000146
MOBEAST055,MOBEAST_F1_Inflow_2024-06-03_0600,F1,Inflow,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,75.0663991274447,0,0,0,0,0,0,0,0,0,0,0,0,8.011280151320806,8.011280151320806,0,2346.113,2346.113,0
MOBEAST056,MOBEAST_F2_Inflow_2024-06-03_0600,F2,Inflow,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,NA,NA,0,0,0,0,0,0,0,0,0,0,0,8.019275619285924,8.019275619285924,0,2343.007,2343.007,0
MOBEAST057,MOBEAST_T1_A_2024-06-03_0600,T1,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,84.5412840217473,9.474884894302605,-4.141155683268505e-4,-0.0367874866475826,0.00156578260792804,4.223880247280001e-5,-0.0293942202041662,0.13359161263018804,0.285505314775948,0.109616934490824,0.0032386433173479,-0.4213126795234998,0.0384033246632602,7.967295688938815,8.011280151320806,-0.0439844623819905,2358.64,2346.113,12.527000000000044
MOBEAST058,MOBEAST_T2_R_2024-06-03_0600,T2,CCA,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,79.3792201953258,4.312821067881103,0.00133947747425799,-0.0234799441031542,0.00532925711381915,0.001329222301117,-0.0021744951590555,0.309008778448849,0.17727764323681203,0.135171254765881,0.00886072384965849,-0.29550619198519,0.0119576016383469,7.905272505303802,8.019275619285924,-0.11400311398212182,2341.554,2343.007,-1.4529999999999743
MOBEAST059,MOBEAST_T3_C_2024-06-03_0600,T3,Control,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,71.5278876335268,-3.5385114939178948,-0.00416539720823893,-0.0428264754497346,-0.00247022170744224,-0.00387295018992448,0.0493036836446436,-0.007039808567455,0.4186673207314981,-0.36868655608628903,-0.00290662784251,-0.3663262574392001,0.0152934670403679,8.022645694309167,8.019275619285924,0.00337007502324304,2313.736,2343.007,-29.271000000000186
MOBEAST060,MOBEAST_T4_A_2024-06-03_0600,T4,Algae,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,131.665931211337,56.59953208389231,8.257330219215986e-4,-0.0303071270941897,0.00487419426127955,-5.878320662758008e-4,-0.0126135646708042,0.41386623759721203,0.15294387201526605,0.163854917627152,-0.0047402745567514,-0.27637098150018,0.008874512292173,7.947558949235975,8.019275619285924,-0.0717166700499492,2408.932,2343.007,65.92499999999973
MOBEAST061,MOBEAST_T5_R_2024-06-03_0600,T5,CCA,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,75.1663100402142,0.09991091276950216,-0.0015275795264561,-0.0282543540064489,0.00131157026796951,-0.0021294761573453,0.06063745426563,0.23688292820383097,0.450369507048178,-0.25036035867296,-0.019856625003332,-0.13917260128475006,0.0271841996169408,7.984736119239772,8.019275619285924,-0.03453950004615258,2258.106,2343.007,-84.90099999999984
MOBEAST062,MOBEAST_T6_K_2024-06-03_0600,T6,Coral,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,83.3756567061037,8.309257578659,-3.0723934813810076e-4,-0.0123724756532464,0.00275172755563695,0.00109704810310459,0.090937968380559,0.14436237016294695,0.482987522643448,-0.32084058963524204,0.0187181120642919,-0.11361202901558,0.0243754113297962,7.973661131229899,8.019275619285924,-0.04561448805602541,2343.304,2343.007,0.29700000000002547
MOBEAST063,MOBEAST_T7_K_2024-06-03_0600,T7,Coral,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,99.1116254672917,24.045226339847005,-0.00297415903074328,-0.0288769763339247,5.648904900649298e-4,-0.00399899418350561,-0.006754913480147,0.329524447108418,0.16683865041036605,-0.04583835823293103,-0.0229122969726121,-0.14165233236298014,0.0110393112521221,7.9469472081291395,8.019275619285924,-0.07232841115678479,2306.044,2343.007,-36.96300000000019
MOBEAST064,MOBEAST_T8_C_2024-06-03_0600,T8,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,82.197540526364,7.131141398919297,8.717853186901887e-4,0.0027162971832762,0.00163380891043351,-9.87367418125499e-4,-0.0519245221632034,0.211202529832906,0.17732615302369403,0.33785750138301607,-0.0292939746813898,0.03637380699934001,-0.0164911382109073,8.029579013499779,8.011280151320806,0.01829886217897325,2420.65,2346.113,74.53700000000026
MOBEAST065,MOBEAST_T9_K_2024-06-03_0600,T9,Coral,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,150.703123048615,75.6367239211703,6.28793262392369e-4,0.00836989733835399,0.00263012709641836,0.0013939805062201,-0.05907246249885081,0.14006286670039703,0.07118998612032501,0.33913987626292996,-0.0085041172980211,0.1693903358680202,-0.0164911382109073,8.011784603187724,8.011280151320806,5.044518669183873e-4,2358.585,2346.113,12.472000000000207
MOBEAST066,MOBEAST_T10_R_2024-06-03_0600,T10,CCA,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,150.703123048615,75.6367239211703,0.00207058235327978,0.0104723828491184,0.00402730389743125,0.0017689581689345,-0.0554831866408405,0.22472453626771705,0.04239727268091398,0.447248442101314,-0.02398850053556368,-0.03871678168817993,-0.00767297986313111,8.01359755146066,8.011280151320806,0.00231740013985337,2285.129,2346.113,-60.98399999999992
MOBEAST067,MOBEAST_T11_C_2024-06-03_0600,T11,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,87.0099161580924,11.943517030647698,0.00175533851512648,0.0113890233073689,0.00271815007215167,0.0036146327834362,-0.0048328773070957,0.03825604040901709,0.4204932666837239,0.097788080710412,-0.02180720650413437,0.3423348204009302,0.0631177503251937,8.029143259887947,8.011280151320806,0.01786310856714124,2388.952,2346.113,42.8390000000004
MOBEAST068,MOBEAST_T12_R_2024-06-03_0600,T12,CCA,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,NA,NA,-5.195324076061603e-4,-0.00348997702412619,7.2615555102532e-4,-0.00189515054154306,-0.0643251957266447,0.19260950903807503,0.094780890460761,0.364643558846957,-0.0292939746813898,0.2668121240416499,-0.0014349622513527,8.014764758061578,8.011280151320806,0.00348460674077166,2361.74,2346.113,15.626999999999953
MOBEAST069,MOBEAST_T13_A_2024-06-03_0600,T13,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,116.983189988927,41.9167908614823,0.00341740759597778,0.0103051252576878,0.00623281544938485,0.0040770567138916,-0.0378266128278022,0.2452905306174611,0.14899353603142795,0.253750041194568,0.0081137432814006,-0.18075849973644,0.02336580435971279,7.87308109328354,8.011280151320806,-0.13819905803726584,2347.574,2346.113,1.46100000000024
MOBEAST070,MOBEAST_T14_A_2024-06-03_0600,T14,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,127.224058547795,52.1576594203503,0.00192380745180629,0.0061092845017483,0.00482449218808365,0.0020933908519468,-0.05223423701062411,0.263899799032401,0.18639925700904603,0.34432019822718696,-0.01391589351635949,-0.23648441393016983,0.0186844691561378,7.912510301715075,8.011280151320806,-0.09876984960573054,2362.2,2346.113,16.08699999999999
