id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,sample,npoc_mg_l,tn_mg_l,npoc_u_m,tn_u_m,npoc_u_m_norm,inflow
MOBEAST072,MOBEAST_T16_K_2024-06-03_0600,T16,Coral,Table 1,2024-06-03 06:00:00,2024-06-03,06:00:00,T16 06/03/24 6:00,1.09605,0.16031,91.2561299507939,11.44523692233,16.18973082334921,75.0663991274447
MOBEAST073,MOBEAST_F1_Inflow_2024-06-04_1200,F1,Inflow,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,F1 06/04/24 12:00,1.07305,0.14723,89.3411707893795,10.5113981166156,0,89.3411707893795
MOBEAST074,MOBEAST_F2_Inflow_2024-06-04_1200,F2,Inflow,Table 2,2024-06-04 12:00:00,2024-06-04,12:00:00,F2_IN 06/04/24 12:00,1.10705,0.14594,92.1719799845138,10.4192993353181,0,92.1719799845138
MOBEAST075,MOBEAST_T1_A_2024-06-04_1200,T1,Algae,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,T1 06/04/24 12:00,1.16905,0.14878,97.3340438109352,10.6220594429809,7.992873021555695,89.3411707893795
MOBEAST076,MOBEAST_T2_R_2024-06-04_1200,T2,CCA,Table 2,2024-06-04 12:00:00,2024-06-04,12:00:00,T2 06/04/24 12:00,1.21105,0.1496,100.830925757866,10.6806028543483,8.658945773352201,92.1719799845138
MOBEAST077,MOBEAST_T3_C_2024-06-04_1200,T3,Control,Table 2,2024-06-04 12:00:00,2024-06-04,12:00:00,T3 06/04/24 12:00,1.04605,0.1391,87.0931752520669,9.93096161122891,-5.078804732446898,92.1719799845138
MOBEAST078,MOBEAST_T4_A_2024-06-04_1200,T4,Algae,Table 2,2024-06-04 12:00:00,2024-06-04,12:00:00,T4 06/04/24 12:00,1.24605,0.14615,103.744994046975,10.4342921601805,11.573014062461198,92.1719799845138
MOBEAST079,MOBEAST_T5_R_2024-06-04_1200,T5,CCA,Table 2,2024-06-04 12:00:00,2024-06-04,12:00:00,T5 06/04/24 12:00,1.09105,0.14556,90.8398344809212,10.3921694617576,-1.3321455035925993,92.1719799845138
MOBEAST080,MOBEAST_T6_K_2024-06-04_1200,T6,Coral,Table 2,2024-06-04 12:00:00,2024-06-04,12:00:00,T6 06/04/24 12:00,1.15105,0.15158,95.8353801193935,10.8219637744794,3.6634001348797085,92.1719799845138
MOBEAST081,MOBEAST_T7_K_2024-06-04_1200,T7,Coral,Table 2,2024-06-04 12:00:00,2024-06-04,12:00:00,T7 06/04/24 12:00,1.14205,0.1446,95.0860482736227,10.3236308338152,2.914068289108897,92.1719799845138
MOBEAST082,MOBEAST_T8_C_2024-06-04_1200,T8,Control,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,T8 06/04/24 12:00,1.14005,0.14449,94.9195300856736,10.3157774493635,5.578359296294096,89.3411707893795
MOBEAST083,MOBEAST_T9_K_2024-06-04_1200,T9,Coral,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,T9 06/04/24 12:00,1.15405,0.14186000000000001,96.0851574013171,10.1280101665631,6.743986611937601,89.3411707893795
MOBEAST084,MOBEAST_T10_R_2024-06-04_1200,T10,CCA,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,T10 06/04/24 12:00,1.11705,0.14458,93.0045709242592,10.3222029457331,3.6634001348796943,89.3411707893795
MOBEAST085,MOBEAST_T11_C_2024-06-04_1200,T11,Control,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,T11 06/04/24 12:00,1.06105,0.1459,88.342061661685,10.4164435591538,-0.9991091276945099,89.3411707893795
MOBEAST086,MOBEAST_T12_R_2024-06-04_1200,T12,CCA,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,T12 06/04/24 12:00,1.11505,0.14542,92.8380527363101,10.3821742451827,3.4968819469306,89.3411707893795
MOBEAST087,MOBEAST_T13_A_2024-06-04_1200,T13,Algae,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,T13 06/04/24 12:00,1.44605,0.15301,120.396812841883,10.9240577723518,31.0556420525035,89.3411707893795
MOBEAST088,MOBEAST_T14_A_2024-06-04_1200,T14,Algae,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,T14 06/04/24 12:00,1.25505,0.1429,104.494325892746,10.202260346834,15.153155103366501,89.3411707893795
MOBEAST089,MOBEAST_T15_C_2024-06-04_1200,T15,Control,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,T15 06/04/24 12:00,1.08005,0.14916,89.9239844472012,10.649189316541401,0.5828136578217027,89.3411707893795
MOBEAST090,MOBEAST_T16_K_2024-06-04_1200,T16,Coral,Table 1,2024-06-04 12:00:00,2024-06-04,12:00:00,T16 06/04/24 12:00,1.11805,0.14529,93.0878300182338,10.3728929726488,3.7466592288542984,89.3411707893795
MOBEAST091,MOBEAST_F1_Inflow_2024-06-06_1200,F1,Inflow,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,F1_IN 06/06/24 12:00,1.87005,0.17141,155.698668687087,12.2377148079134,0,155.698668687087
MOBEAST092,MOBEAST_F2_Inflow_2024-06-06_1200,F2,Inflow,Table 2,2024-06-06 12:00:00,2024-06-06,12:00:00,F2_IN 06/06/24 12:00,1.97605,0.1784,164.524132648389,12.7367616926185,0,164.524132648389
MOBEAST093,MOBEAST_T1_A_2024-06-06_1200,T1,Algae,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,T1 06/06/24 12:00,2.01605,0.1951,167.85449640737,13.9290482411989,12.155827720282986,155.698668687087
MOBEAST094,MOBEAST_T2_R_2024-06-06_1200,T2,CCA,Table 2,2024-06-06 12:00:00,2024-06-06,12:00:00,T2 06/06/24 12:00,2.54805,0.6732,212.148334401825,48.0627128445672,47.62420175343598,164.524132648389
MOBEAST095,MOBEAST_T3_C_2024-06-06_1200,T3,Control,Table 2,2024-06-06 12:00:00,2024-06-06,12:00:00,T3 06/06/24 12:00,1.60205,0.16037,133.385231501911,11.4495205865764,-31.13890114647802,164.524132648389
MOBEAST096,MOBEAST_T4_A_2024-06-06_1200,T4,Algae,Table 2,2024-06-06 12:00:00,2024-06-06,12:00:00,T4 06/06/24 12:00,1.87205,0.1809,155.865186875036,12.9152477028851,-8.658945773353025,164.524132648389
MOBEAST097,MOBEAST_T5_R_2024-06-06_1200,T5,CCA,Table 2,2024-06-06 12:00:00,2024-06-06,12:00:00,T5 06/06/24 12:00,2.44205,0.6728,203.322870440524,48.0341550829246,38.798737792135,164.524132648389
MOBEAST098,MOBEAST_T6_K_2024-06-06_1200,T6,Coral,Table 2,2024-06-06 12:00:00,2024-06-06,12:00:00,T6 06/06/24 12:00,1.86005,0.16493,154.866077747342,11.7750790693026,-9.658054901047024,164.524132648389
MOBEAST099,MOBEAST_T7_K_2024-06-06_1200,T7,Coral,Table 2,2024-06-06 12:00:00,2024-06-06,12:00:00,T7 06/06/24 12:00,1.92505,0.1651,160.277918855687,11.7872161180007,-4.246213792702008,164.524132648389
MOBEAST100,MOBEAST_T8_C_2024-06-06_1200,T8,Control,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,T8 06/06/24 12:00,1.92605,0.228,160.361177949662,16.2779241363062,4.662509262574986,155.698668687087
MOBEAST101,MOBEAST_T9_K_2024-06-06_1200,T9,Coral,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,T9 06/06/24 12:00,2.03505,0.1925,169.436419192886,13.7434227905217,13.737750505799,155.698668687087
MOBEAST102,MOBEAST_T10_R_2024-06-06_1200,T10,CCA,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,T10 06/06/24 12:00,1.77605,0.1573,147.872313853481,11.2303397659691,-7.826354833606018,155.698668687087
MOBEAST103,MOBEAST_T11_C_2024-06-06_1200,T11,Control,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,T11 06/06/24 12:00,2.00005,0.2388,166.522350903777,17.0489837006575,10.823682216690003,155.698668687087
MOBEAST104,MOBEAST_T12_R_2024-06-06_1200,T12,CCA,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,T12 06/06/24 12:00,1.76405,0.16299,146.873204725786,11.6365739253357,-8.825463961301011,155.698668687087
MOBEAST105,MOBEAST_T13_A_2024-06-06_1200,T13,Algae,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,T13 06/06/24 12:00,1.85805,0.1776,154.699559559393,12.6796461693332,-0.9991091276939983,155.698668687087
MOBEAST106,MOBEAST_T14_A_2024-06-06_1200,T14,Algae,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,T14 06/06/24 12:00,2.09305,0.4273,174.26544664341,30.5068288747528,18.566777956322994,155.698668687087
MOBEAST107,MOBEAST_T15_C_2024-06-06_1200,T15,Control,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,T15 06/06/24 12:00,1.86305,0.16441,155.115855029266,11.7379539791671,-0.5828136578210206,155.698668687087
MOBEAST108,MOBEAST_T16_K_2024-06-06_1200,T16,Coral,Table 1,2024-06-06 12:00:00,2024-06-06,12:00:00,T16 06/06/24 12:00,1.86905,0.179,155.615409593113,12.7795983350825,-0.08325909397402143,155.698668687087
