Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
490	787.081	-19.5543873916713
490	791.838	-0.971241696873534
490	796.596	4.37059689564096
490	801.355	-25.1318601538066
490	806.114	-9.644543986128
490	810.875	-12.5727585757228
490	815.635	6.70064913998454
490	820.397	-6.28637928786142
490	825.159	-21.7848233795422
485	248.336	18.5180665056777
485	252.814	11.3098344208923
485	257.296	21.4720475943988
485	261.781	-8.53344858839393
485	266.271	23.1261941667203
485	270.764	-10.1199227235533
485	275.26	-24.5471961018772
485	279.76	22.9482570970951
485	284.264	5.6862003956764
485	288.772	-17.7436904650708
485	293.283	-10.6792135604928
485	297.797	11.8720590045673
485	302.315	-4.50922899461667
485	306.837	-11.2466285964958
485	311.362	17.2194001228498
485	315.89	-8.22350619606069
485	320.422	38.2399495674573
485	324.958	3.10138965326146
485	329.496	7.47628194722779
485	334.038	6.33763684389332
485	338.584	12.6505538736102
485	343.133	1.19169805577383
485	347.685	7.93273276231897
485	352.24	13.6604223977064
485	356.799	-14.2215297427208
485	361.361	-1.22790012677786
